text,label
Government launches new education policy,real
Aliens landed in Mumbai yesterday,fake
Stock market reaches new high,real
Drinking bleach cures all diseases,fake
New hospital inaugurated in Chennai,real
5G towers spread coronavirus,fake
Scientists discover new vaccine,real
Celebrity adopts a stray dog,real
Magic stone found that gives superpowers,fake
NASA launches new satellite,real
Government launches new education policy,real
Aliens landed in Mumbai yesterday,fake
Stock market reaches new high,real
Drinking bleach cures all diseases,fake
New hospital inaugurated in Chennai,real
5G towers spread coronavirus,fake
Scientists discover new vaccine,real
Celebrity adopts a stray dog,real
Magic stone found that gives superpowers,fake
NASA launches new satellite,real
Government launches new education policy,real
Aliens landed in Mumbai yesterday,fake
Stock market reaches new high,real
Drinking bleach cures all diseases,fake
New hospital inaugurated in Chennai,real
5G towers spread coronavirus,fake
Scientists discover new vaccine,real
Celebrity adopts a stray dog,real
Magic stone found that gives superpowers,fake
NASA launches new satellite,real
Government launches new education policy,real
Aliens landed in Mumbai yesterday,fake
Stock market reaches new high,real
Drinking bleach cures all diseases,fake
New hospital inaugurated in Chennai,real
5G towers spread coronavirus,fake
Scientists discover new vaccine,real
Celebrity adopts a stray dog,real
Magic stone found that gives superpowers,fake
NASA launches new satellite,real
Government launches new education policy,real
Aliens landed in Mumbai yesterday,fake
Stock market reaches new high,real
Drinking bleach cures all diseases,fake
New hospital inaugurated in Chennai,real
5G towers spread coronavirus,fake
Scientists discover new vaccine,real
Celebrity adopts a stray dog,real
Magic stone found that gives superpowers,fake
NASA launches new satellite,real
Government launches new education policy,real
Aliens landed in Mumbai yesterday,fake
Stock market reaches new high,real
Drinking bleach cures all diseases,fake
New hospital inaugurated in Chennai,real
5G towers spread coronavirus,fake
Scientists discover new vaccine,real
Celebrity adopts a stray dog,real
Magic stone found that gives superpowers,fake
NASA launches new satellite,real
Government launches new education policy,real
Aliens landed in Mumbai yesterday,fake
Stock market reaches new high,real
Drinking bleach cures all diseases,fake
New hospital inaugurated in Chennai,real
5G towers spread coronavirus,fake
Scientists discover new vaccine,real
Celebrity adopts a stray dog,real
Magic stone found that gives superpowers,fake
NASA launches new satellite,real
Government launches new education policy,real
Aliens landed in Mumbai yesterday,fake
Stock market reaches new high,real
Drinking bleach cures all diseases,fake
New hospital inaugurated in Chennai,real
5G towers spread coronavirus,fake
Scientists discover new vaccine,real
Celebrity adopts a stray dog,real
Magic stone found that gives superpowers,fake
NASA launches new satellite,real
Government launches new education policy,real
Aliens landed in Mumbai yesterday,fake
Stock market reaches new high,real
Drinking bleach cures all diseases,fake
New hospital inaugurated in Chennai,real
5G towers spread coronavirus,fake
Scientists discover new vaccine,real
Celebrity adopts a stray dog,real
Magic stone found that gives superpowers,fake
NASA launches new satellite,real
Government launches new education policy,real
Aliens landed in Mumbai yesterday,fake
Stock market reaches new high,real
Drinking bleach cures all diseases,fake
New hospital inaugurated in Chennai,real
5G towers spread coronavirus,fake
Scientists discover new vaccine,real
Celebrity adopts a stray dog,real
Magic stone found that gives superpowers,fake
NASA launches new satellite,real
